统一策略ID,策略代码,策略名称,渠道,投顾机构,原披露风险等级,测算风险等级,风险基础分类,权益风险档,波动风险档,回撤风险档,风险触发指标,风险测算缺失项,权益基金权重,债券基金权重,货币基金权重,混合基金权重,指数基金权重,QDII权重,波动率,最大回撤,主可比池,业务主分类,业务组合分类,业务分类标签,市场地域,数据完整性,基础数据等级,运作状态,最新业绩日期,收益数据截至,是否广发相关,是否天天策略,天天当前对客展示,天天对客展示标记,天天展示状态,天天展示分层,天天展示判定依据
gffunds__GFJJ001201,GFJJ001201,固收增强组合,广发基金投顾,广发基金投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,14.5,84.5,1,0,1.45,0,2.0243,1.7287,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,公开披露,2025-11-10,2025-11-10,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ001422,GFJJ001422,广发全球债券30甄选组合,广发基金投顾,广发基金投顾,中低风险,R2 稳健收益,R2 稳健收益,R0 现金/超低波,R2 稳健收益,R2 稳健收益,波动+回撤,,0,99,1,0,0,26.9,2.2632,3.3989,海外/全球型,海外/全球型,R2 稳健收益｜海外/全球型,海外/全球｜主动为主｜海外全球｜主动基金组合、QDII/海外工具,海外/全球,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ001665,GFJJ001665,广发全天候多元稳健,广发基金投顾,广发基金投顾,中风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,16.83,72.14,1.03,0,15.07,12.6,3.7348,4.4991,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内+海外｜主动为主｜商品黄金｜主动基金组合、QDII/海外工具、FOF工具,国内+海外,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ002222,GFJJ002222,辉享全天候稳健增长,广发基金投顾,广发基金投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,15,84,1,0,74.58,3.18,3.0575,1.5847,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜指数/被动为主｜指数/被动工具组合,国内,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ000578,GFJJ000578,亲子理财加,广发基金投顾,广发基金投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,9.73,88.47,1.01,0,3.52,4.68,1.3364,1.4903,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ001222,GFJJ001222,全球多元稳健,广发基金投顾,广发基金投顾,中风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,17.6,78.37,1.03,0,3,14,2.2213,2.6329,海外/全球型,海外/全球型,R2 稳健收益｜海外/全球型,海外/全球｜主动为主｜海外全球｜主动基金组合、QDII/海外工具、FOF工具,海外/全球,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ000835,GFJJ000835,稳健优选组合,广发基金投顾,广发基金投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,14.8,83.75,1.45,0,0,0,2.5943,2.408,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,公开披露,2025-01-17,2025-01-17,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ000004,GFJJ000004,小小的太阳,广发基金投顾,广发基金投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,11.34,87.71,0.95,0,1.13,5.01,2.1312,3.3506,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ000900,GFJJ000900,幸福小列车目标盈,广发基金投顾,广发基金投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,14.49,81.85,3.66,0,12.69,8.19,1.8604,2.266,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ001507,GFJJ001507,幸福小心愿目标盈,广发基金投顾,广发基金投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,8.9,86.47,4.63,0,21.02,5.11,1.5951,1.5013,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合、FOF工具,国内,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
gffunds__GFJJ001502,GFJJ001502,智选理财Plus,广发基金投顾,广发基金投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,13.3,85.7,1,0,3,8.5,1.6623,1.9042,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合、FOF工具,国内,完整,B,公开披露,2026-05-22,2026-05-22,是,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
huaxia_tougu__SF1036,SF1036,工资宝绝对收益组合,华夏投顾/华夏财富查理智投,华夏投顾/华夏财富查理智投,中低风险(R2),R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,11,84,5,0,5.3,6.8,2.2989,4.356,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,正常运作,2026-05-21,2026-05-21,否,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
huaxia_tougu__SF10LE,SF10LE,小常乐目标盈059期（全球版）,华夏投顾/华夏财富查理智投,华夏投顾/华夏财富查理智投,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R0 现金/超低波,权益+波动,,16.78,76.62,1,2.2,13.12,40.18,3.7564,1.09,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,海外/全球｜主动为主｜目标盈/止盈、海外全球｜主动基金组合、QDII/海外工具、FOF工具,海外/全球,完整,B,未披露,2026-05-21,2026-05-21,否,否,非天天,非天天,非天天策略,非天天策略,渠道非天天基金/投顾
ttfund__T0QIP9Z,T0QIP9Z,安鑫固收加,天天基金/投顾,国联证券-国联投顾,中低风险,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R2 稳健收益,波动+回撤,,6.3674,53.3957,1.9452,38.2918,4.8791,0,2.3857,3.7005,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__AYVXSHV,AYVXSHV,表韭固收加精选,天天基金/投顾,国联证券-国联投顾,中高风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,11.3563,63.1907,1.0022,21.082,22.7775,7.9413,2.8333,3.3226,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合、FOF工具,国内,完整,A,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
ttfund__QNAIOKY,QNAIOKY,财安宁,天天基金/投顾,财通证券投顾,未披露,R2 稳健收益,R2 稳健收益,R0 现金/超低波,R1 低波,R2 稳健收益,回撤,,0,99.5884,0.4116,0,0,99.5884,0.8322,3.0235,海外/全球型,海外/全球型,R2 稳健收益｜海外/全球型,海外/全球｜主动为主｜海外全球｜主动基金组合、QDII/海外工具,海外/全球,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__S95PUCJ,S95PUCJ,财安盈,天天基金/投顾,财通证券投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,11.8154,83.2898,0.9988,2.0318,2.859,12.4507,2.8401,2.9459,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内+海外｜主动为主｜主动基金组合、QDII/海外工具,国内+海外,完整,A,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
ttfund__AWEQDJE,AWEQDJE,菜鸟稳飞,天天基金/投顾,华宝智选投顾,未披露,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R2 稳健收益,波动+回撤,,6.1417,76.8873,1.7896,15.1813,6.1417,0,2.9553,4.1462,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__4Y20QIY,4Y20QIY,超级理财加,天天基金/投顾,广发基金-广发投顾,中低风险,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,R2 稳健收益,回撤,,5.2834,86.4743,1.8968,3.7228,5.262,19.46,1.8392,3.1358,纯债/短债型,纯债/短债型,R2 稳健收益｜纯债/短债型,国内+海外｜主动为主｜主动基金组合、QDII/海外工具,国内+海外,完整,A,未披露,2026-06-03,2026-06-03,是,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__1AF0DKO,1AF0DKO,大方向平稳小目标02期,天天基金/投顾,国联证券-国联投顾,未披露,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R2 稳健收益,波动+回撤,,5.4218,45.3149,0.9182,48.3452,6.689,0,3.8052,5.1952,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__QQPMXKK,QQPMXKK,东财稳健乐享,天天基金/投顾,东方财富证券-东方财富证券投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,15.9301,76.3589,1.8632,5.8479,3.3302,0,2.7222,5.2284,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__ZWQLWLB,ZWQLWLB,多元稳钱宝,天天基金/投顾,兴证全球投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,13.3861,83.6594,0.9946,0,43.3414,21.5961,1.7459,1.6546,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内+海外｜主动被动混合｜主动+指数混合、QDII/海外工具,国内+海外,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__2BWLMKP,2BWLMKP,丰慧稳健,天天基金/投顾,华宝智选投顾,中风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,12.4755,70.5849,1.9733,14.9663,11.9559,0,3.29,3.5136,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,A,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
ttfund__COWJBFP,COWJBFP,富国90天低波目标盈01期,天天基金/投顾,富国基金-富国星投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,9.628,87.7166,1.0471,1.6083,9.1019,0,1.9151,2.0739,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__MHQ2PVU,MHQ2PVU,富国90天低波目标盈02期,天天基金/投顾,富国基金-富国星投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,9.628,87.7166,1.0471,1.6083,9.1019,0,1.9468,2.0759,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__LEWVOEU,LEWVOEU,富国90天低波目标盈03期,天天基金/投顾,富国基金-富国星投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,9.628,87.7166,1.0471,1.6083,9.1019,0,1.9882,2.0339,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__1OAFRT6,1OAFRT6,富国90天低波目标盈05期,天天基金/投顾,富国基金-富国星投顾,未披露,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R1 低波,波动,,5.5967,86.7779,0.9334,6.692,10.1817,1.1493,2.2765,2.0174,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__DNECX1N,DNECX1N,富国90天低波目标盈06期,天天基金/投顾,富国基金-富国星投顾,未披露,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R1 低波,波动,,5.5194,87.6138,0.9459,5.921,0,1.146,2.0063,1.7312,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__JK6CJW1,JK6CJW1,富国90天低波目标盈07期,天天基金/投顾,富国基金-富国星投顾,未披露,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R1 低波,波动,,5.4733,87.7041,0.9464,5.8762,0,1.1312,2.0049,1.7178,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__KBC04FC,KBC04FC,富国90天低波目标盈08期,天天基金/投顾,富国基金-富国星投顾,未披露,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R1 低波,波动,,5.5572,87.5433,0.9376,5.9619,0,1.1709,2.0743,1.7421,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__AH7OVZH,AH7OVZH,富国90天低波目标盈09期,天天基金/投顾,富国基金-富国星投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,9.628,87.7166,1.0471,1.6083,9.1019,0,1.9201,1.5531,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__TL20OXV,TL20OXV,富国多元低波目标盈,天天基金/投顾,富国基金-富国星投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,10.4391,88.5686,0.9921,0,99.0077,4.276,1.742,1.6384,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜指数/被动为主｜目标盈/止盈｜指数/被动工具组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__C2HW45S,C2HW45S,富国多元目标盈01期,天天基金/投顾,富国基金-富国星投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,14.4708,84.5571,0.9722,0,99.0279,4.2382,2.1133,2.3203,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜指数/被动为主｜目标盈/止盈｜指数/被动工具组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__6MMD0AI,6MMD0AI,富国多元目标盈02期,天天基金/投顾,富国基金-富国星投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,14.4523,84.5755,0.9722,0,99.0278,4.2177,2.1309,2.3238,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜指数/被动为主｜目标盈/止盈｜指数/被动工具组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__MRRGIL8,MRRGIL8,富国富足人生理财升级,天天基金/投顾,富国基金-富国星投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,8.0564,85.524,0.9751,5.4445,7.8112,2.1758,2.3118,3.4395,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,A,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
ttfund__XTNVDBG,XTNVDBG,富国守护星稳健理财,天天基金/投顾,富国基金-富国星投顾,中低风险,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,R2 稳健收益,回撤,,5.4966,91.263,1.5436,1.6968,0.6578,0,1.8804,3.0543,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,A,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
ttfund__OAPJL2B,OAPJL2B,工银固收增强（直销）,天天基金/投顾,工银瑞信容易投,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,12.2114,80.0426,1.8821,5.8638,2.5781,0,2.2551,3.8374,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__MTEXBKY,MTEXBKY,工银瑞信固收增强,天天基金/投顾,工银瑞信容易投,中低风险,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R2 稳健收益,波动+回撤,,6.2776,84.3542,1.9454,7.4228,0,0,2.1964,3.8374,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__KA21BWL,KA21BWL,工银稳健成长（直销）,天天基金/投顾,工银瑞信容易投,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,16.8071,75.2306,1.8796,6.0826,3.8203,0,2.9588,5.6912,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__Y7910ZA,Y7910ZA,工资宝绝对收益组合,天天基金/投顾,华夏投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,10.91,84.09,5.01,0,5.27,6.73,2.3803,4.016,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__8X100BX,8X100BX,固收加精选,天天基金/投顾,华宝智选投顾,中低风险,R2 稳健收益,R2 稳健收益,R0 现金/超低波,R2 稳健收益,R1 低波,波动,,0,89.0291,1.0011,9.9698,9.8945,0,2.3386,2.0661,纯债/短债型,纯债/短债型,R2 稳健收益｜纯债/短债型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__ZK9BHBU,ZK9BHBU,滚雪时代,天天基金/投顾,华宝智选投顾,中风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,9.9158,74.8258,1.9632,13.2952,13.2114,0,3.0372,3.932,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__ZBWOVPR,ZBWOVPR,国富安盈低波小目标组合,天天基金/投顾,国海富兰克林基金-国富弈投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,8.62,83.02,5.9,0,6.97,6.32,1.749,1.5922,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,A,已终止,2026-06-03,2026-06-03,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,存在测试/终止/隐藏等非当前对客信号
ttfund__1OFFZXW,1OFFZXW,国富乘风破浪小目标组合,天天基金/投顾,国海富兰克林基金-国富弈投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,16.031,66.1117,5.9146,9.1672,11.6664,2.4567,3.1887,2.0085,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,A,已终止,2026-06-03,2026-06-03,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,存在测试/终止/隐藏等非当前对客信号
ttfund__G3D2964,G3D2964,国富小美好固收增强组合,天天基金/投顾,国海富兰克林基金-国富弈投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,16.7166,69.2203,5.9286,8.1345,7.8689,2.4243,2.9411,4.41,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,A,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
ttfund__B7TTJ2E,B7TTJ2E,国联睿稳健,天天基金/投顾,国联证券-国联投顾,中低风险,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R2 稳健收益,波动+回撤,,7.5137,79.6772,1.9538,10.8554,20.2752,0,2.2527,3.4179,现金管理型,现金管理型,R2 稳健收益｜现金管理型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__FZOIIEG,FZOIIEG,国泰目标盈01期,天天基金/投顾,国泰基金-国泰民安投顾,未披露,R2 稳健收益,R2 稳健收益,R0 现金/超低波,R2 稳健收益,R1 低波,波动,,0,0,100,0,0,0,2.1687,2.8848,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__7ZSLPH1,7ZSLPH1,国信固收嘉,天天基金/投顾,国信鑫智投,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,15.323,74.7856,0.9241,8.9676,12.529,3.503,2.936,4.911,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__DMJAIPP,DMJAIPP,国信理财乐,天天基金/投顾,国信鑫智投,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,11.2958,81.2618,1.7619,5.6805,23.5364,0.9228,1.8121,1.9688,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
