统一策略ID,策略代码,策略名称,渠道,投顾机构,原披露风险等级,测算风险等级,风险基础分类,权益风险档,波动风险档,回撤风险档,风险触发指标,风险测算缺失项,权益基金权重,债券基金权重,货币基金权重,混合基金权重,指数基金权重,QDII权重,波动率,最大回撤,主可比池,业务主分类,业务组合分类,业务分类标签,市场地域,数据完整性,基础数据等级,运作状态,最新业绩日期,收益数据截至,是否广发相关,是否天天策略,天天当前对客展示,天天对客展示标记,天天展示状态,天天展示分层,天天展示判定依据
ttfund__CE1CSYM,CE1CSYM,工银瑞信目标赢10期,天天基金/投顾,工银瑞信容易投,未披露,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R3 均衡稳健,R3 均衡稳健,波动+回撤,,15.6094,70.3755,1.9591,10.7523,1.3037,0,4.5294,6.0552,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__4LB2XCK,4LB2XCK,工银瑞信目标赢11期,天天基金/投顾,工银瑞信容易投,未披露,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R3 均衡稳健,R2 稳健收益,波动,,15.6094,70.3755,1.9591,10.7523,1.3037,0,4.6283,5.7567,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__EQ2GPJN,EQ2GPJN,工银瑞信目标赢12期,天天基金/投顾,工银瑞信容易投,未披露,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R3 均衡稳健,R2 稳健收益,波动,,14.3002,74.5537,1.9784,7.8512,1.3165,0,4.5973,5.1705,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__OZY0TLZ,OZY0TLZ,工银瑞信稳健成长,天天基金/投顾,工银瑞信容易投,中低风险,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R2 稳健收益,R3 均衡稳健,回撤,,11.3839,79.6811,1.9569,6.978,5.7404,0,3.1057,7.1583,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__YGD6IS1,YGD6IS1,国富川流不息固收增强组合,天天基金/投顾,国海富兰克林基金-国富弈投顾,未披露,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,权益+波动+回撤,,21.8842,68.1631,5.9216,4.031,9.2134,3.2941,4.3073,7.1935,固收增强型,固收增强型,R3 均衡稳健｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__CHVBDH0,CHVBDH0,国富小目标01期,天天基金/投顾,国海富兰克林基金-国富弈投顾,未披露,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R2 稳健收益,权益,,19.949,69.5394,5.2887,5.2229,20.8187,1.4037,3.3318,5.138,目标盈系列产品,目标盈系列产品,R3 均衡稳健｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__Z8Y7ERA,Z8Y7ERA,国富小目标02期,天天基金/投顾,国海富兰克林基金-国富弈投顾,未披露,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,权益+波动+回撤,,18.7135,69.294,5.9337,6.0588,9.6509,2.9117,4.1457,6.104,目标盈系列产品,目标盈系列产品,R3 均衡稳健｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__GHCCUYV,GHCCUYV,国富小目标03期,天天基金/投顾,国海富兰克林基金-国富弈投顾,未披露,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,权益+波动,,19.398,70.3809,5.1426,5.0786,22.545,1.3649,4.5882,4.8519,目标盈系列产品,目标盈系列产品,R3 均衡稳健｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__YH1BZOK,YH1BZOK,国富小目标04期,天天基金/投顾,国海富兰克林基金-国富弈投顾,未披露,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,权益+波动,,19.398,70.3809,5.1426,5.0786,22.545,1.3649,4.7013,4.5176,目标盈系列产品,目标盈系列产品,R3 均衡稳健｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__B3KF2QG,B3KF2QG,国联平衡小目标04期,天天基金/投顾,国联证券-国联投顾,未披露,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,权益+波动+回撤,,25.6078,33.6572,0.878,39.857,6.8975,0,6.1552,11.56,目标盈系列产品,目标盈系列产品,R3 均衡稳健｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__QZ7HSD6,QZ7HSD6,国泰目标盈04期,天天基金/投顾,国泰基金-国泰民安投顾,未披露,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,R3 均衡稳健,权益+波动+回撤,,24.1457,73.1873,2.667,0,26.4438,11.4041,6.0795,6.6119,目标盈系列产品,目标盈系列产品,R3 均衡稳健｜目标盈系列产品,国内+海外｜主动为主｜目标盈/止盈｜主动基金组合、QDII/海外工具,国内+海外,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__0ZRNTQZ,0ZRNTQZ,国泰目标盈05期,天天基金/投顾,国泰基金-国泰民安投顾,未披露,R3 均衡稳健,R3 均衡稳健,R2 稳健收益,R3 均衡稳健,R3 均衡稳健,波动+回撤,,14.9391,79.9072,0.877,2.8412,18.754,4.8805,6.5826,7.5177,目标盈系列产品,目标盈系列产品,R3 均衡稳健｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
